Date,Description,Amount
2026-05-01,Rent Payment,1200.00
2026-05-02,Netflix Subscription,15.99
2026-05-03,Uber to Airport,45.50
2026-05-05,Whole Foods Market,82.30
2026-05-07,Amazon - Electronics,129.99
2026-05-10,Gold Gym Membership,40.00
2026-05-12,Starbucks Coffee,6.75
2026-05-14,Trader Joes Groceries,55.20
2026-04-01,Rent Payment,1200.00
2026-04-02,Netflix Subscription,15.99
2026-04-05,Uber Ride,22.10
2026-04-10,Gold Gym Membership,40.00
2026-04-15,Target Shopping,65.00
2026-03-01,Rent Payment,1200.00
2026-03-02,Netflix Subscription,15.99
2026-03-10,Gold Gym Membership,40.00
