Date,Description,Amount
2026-04-01,Starbucks Coffee,5.45
2026-04-02,Uber Ride to Office,15.20
2026-04-03,Amazon - Electronics,120.00
2026-04-04,Walmart Groceries,85.50
2026-04-05,Netflix Subscription,15.99
2026-04-08,Electricity Bill,110.00
2026-04-12,Target - Household items,65.25
2026-04-15,Delta Airlines Ticket,350.00
2026-05-01,Starbucks Coffee,6.50
2026-05-02,Uber Ride to Office,18.00
2026-05-03,Apple Store - iPad,499.00
2026-05-05,Whole Foods Groceries,120.00
2026-05-07,Local Bistro Dinner,45.00
2026-05-10,Internet Bill,80.00
2026-05-12,Gym Membership,50.00
